Formatter, loc, ns
scalariform, 171, 30207268
scalariform, 107, 27429759
scalafmt, 9, 753988
scalafmt, 31, 8281739
scalariform, 31, 2445309
scalafmt, 32, 7297412
scalafmt, 9, 13620733
scalariform, 32, 2824449
scalariform, 9, 1542394
scalafmt, 35, 29009775
scalafmt, 101, 57789531
scalafmt, 5, 4919000
scalariform, 5, 1100997
scalariform, 35, 4519636
scalafmt, 76, 82257365
scalafmt, 13, 9240863
scalafmt, 30, 53684479
scalafmt, 24, 8750398
scalariform, 13, 1679433
scalariform, 101, 15735340
scalariform, 24, 2939131
scalafmt, 17, 4387381
scalariform, 17, 1703093
scalafmt, 17, 9127875
scalafmt, 25, 8520096
scalariform, 30, 12830642
scalariform, 25, 3146032
scalariform, 76, 17679419
scalafmt, 82, 72222752
scalafmt, 54, 23698400
scalafmt, 454, 294332688
scalariform, 82, 18506161
scalariform, 54, 7050457
scalafmt, 12, 35504935
scalafmt, 51, 67248321
scalariform, 12, 1761882
scalafmt, 11, 1440398
scalafmt, 12, 549095
scalafmt, 5, 436119
scalafmt, 5, 495706
scalafmt, 3, 909487
scalariform, 3, 403208
scalafmt, 7, 2463880
scalariform, 7, 794135
scalafmt, 9, 22745933
scalariform, 51, 19234482
scalafmt, 3, 915390
scalariform, 3, 318951
scalariform, 9, 1768282
scalafmt, 6, 2402213
scalariform, 6, 811640
scalafmt, 15, 3926016
scalafmt, 3, 1021952
scalariform, 3, 462711
scalafmt, 16, 12671542
scalafmt, 7, 348781
scalariform, 7, 328301
scalafmt, 101, 75660434
scalariform, 16, 2374363
scalafmt, 9, 1600501
scalariform, 9, 635628
scalafmt, 18, 2223661
scalariform, 18, 912373
scalafmt, 55, 23214650
scalafmt, 22, 4115473
scalariform, 22, 1566905
scalariform, 55, 6823516
scalafmt, 14, 3802112
scalariform, 101, 16068378
scalariform, 14, 1236136
scalafmt, 16, 3742769
scalariform, 16, 1269160
scalafmt, 16, 3333758
scalariform, 16, 1040851
scalafmt, 21, 5774044
scalariform, 21, 1250910
scalafmt, 15, 9147868
scalariform, 15, 1227540
scalafmt, 85, 88743806
scalafmt, 19, 3115266
scalariform, 19, 1154778
scalariform, 454, 98657990
scalafmt, 16, 3443667
scalariform, 16, 1227322
scalariform, 85, 16404323
scalafmt, 25, 9119440
scalariform, 25, 1434697
scalafmt, 53, 59458651
scalafmt, 21, 6539427
scalariform, 21, 1556570
scalariform, 53, 24256738
scalafmt, 6, 17758189
scalariform, 6, 1637269
scalafmt, 5, 458096
scalariform, 5, 978535
scalafmt, 4, 399915
scalariform, 4, 3158974
scalafmt, 12, 3411828
scalariform, 12, 1304691
scalafmt, 15, 928338
scalariform, 15, 4444477
scalafmt, 4, 256514
scalariform, 4, 908145
scalafmt, 9, 379710
